Jahr,Außenalster Erhöhte Aufmerksamkeit in %, Außenalster Warnstufe in %,Außenalster Alarmstufe in %,Binnenalster Erhöhte Aufmerksamkeit in %,Binnenalster Warnstufe in %,Binnenalster Alarmstufe in %
2004,0.00,0.00,0.00,-2.56,0.00,0.00
2005,0.00,0.00,0.00,0.00,0.00,0.00
2006,19.75,0.09,0.00,-10.00,0.00,0.00
2007,0.95,0.00,0.00,0.00,0.00,0.00
2008,11.95,0.16,0.00,-3.03,-3.03,0.00
2009,10.35,13.10,0.07,-25.00,-5.56,0.00
2010,20.41,10.11,1.00,-33.33,0.00,0.00
2011,9.65,0.00,1.01,-22.22,0.00,0.00
2012,20.55,3.62,0.79,-11.90,0.00,0.00
2013,20.16,0.15,0.00,-12.12,0.00,0.00
2014,16.08,9.68,0.48,-9.09,-3.03,-3.03
2015,5.44,0.00,0.00,-2.56,0.00,0.00
2016,18.59,3.16,0.00,-5.56,-2.78,0.00
2017,0.16,0.00,0.00,0.00,0.00,0.00
2018,15.40,29.64,3.05,-20.45,-29.55,-3.03
2019,26.46,30.57,1.07,-30.95,-31.75,0.00
2020,40.41,3.17,0.00,-37.50,0.00,0.00
2021,1.84,0.08,0.00,0.00,0.00,0.00
2022,1.34,0.75,0.00,0.00,0.00,0.00
