Jahr,Tage mit Tmax > 18°C (Anzahl),Hilfsrechnung,davon Tage mit Tmax > 20°C (Anzahl)
1997,63.0,45.7,17.3
1998,12.5,12.5,0.0
1999,38.3,31.3,7.0
2000,13.0,10.0,3.0
2001,37.0,29.7,7.3
2002,52.0,39.0,13.0
2003,53.0,30.3,22.7
2004,24.7,18.3,6.3
2005,37.3,29.3,8.0
2006,52.0,25.3,26.7
2007,35.7,27.7,8.0
2008,30.3,22.7,7.7
2009,36.3,32.3,4.0
2010,33.0,16.7,16.3
2011,24.3,23.0,1.3
2012,25.7,24.0,1.7
2013,32.3,21.3,11.0
2014,46.0,30.0,16.0
2015,31.3,26.3,5.0
2016,40.7,31.7,9.0
2017,27.3,27.0,0.3
2018,60.3,38.3,22.0
2019,52.3,38.3,14.0
2020,35.0,22.3,12.7
2021,50.0,37.0,13.0
2022,44.7,35.7,9.0
